year,title,authors,journal,status_or_note,doi_or_link,tags
2026,"Pore Space Partition in an indolo[3,2-b]carbazole-based Zr-MOF via Post-Synthetic Linker Installation for Enhanced Selective Ethane/Ethylene Separation",Hang-Ou Qi[cf]; Xiaoyu Wu[cf]; Jiandong Pang; Guoliang Liu; Lifeng Ding[cor]; Lin-Bing Sun[cor],Inorganic Chemistry,Provisionally accepted,,Ethane/ethylene separation; MOFs; Pore space partition
2026,"Efficient CO2 Capture and Conversion from Flue Gas Enabled by an Indolo[3,2-b]carbazole-Based Copper Metal–Organic Framework",Hang-Ou Qi[cf]; Xiao-Han Li[cf]; Ze-Jiu Diao; Fan Li; Xiaoyu Wu; Lifeng Ding; Guoliang Liu[cor]; Lin-Bing Sun[cor],ACS Materials Letters,,https://doi.org/10.1021/acsmaterialslett.6c00577,"CO2 capture; CO2 conversion; Indolo[3,2-b]carbazole"
2026,Interrogating Synthetic Likelihood of Metal-Organic Frameworks: A Digital Discovery Perspective,Xiaoyu Wu; Jianwen Jiang[cor],Chemical Science,Cover Article,https://doi.org/10.1039/D6SC02765B,Synthetic likelihood; Digital discovery; MOFs
2026,"Stability-aware, transferable discovery of metal-organic frameworks for selective adsorption of C6 alkane isomers by machine learning",Xiaoyu Wu; Quan Liu; Rui Zheng; Jianwen Jiang[cor],Chemical Engineering Journal,,https://doi.org/10.1016/j.cej.2026.176943,C6 isomers; Machine learning; MOFs
2026,Double-shell enhanced CO2 capture in metal-organic cage-based porous liquids,Mingrui Zuo[cf]; Xiaoyu Wu[cf]; Manish Kumar Dinker[cor]; Mengmeng Zhang; Zhenghao Wu; Liangdan Zhao; Chenrui Li; Tianyu Guo; Linjiang Chen; Lin-Bing Sun[cor]; Lifeng Ding[cor],Separation and Purification Technology,,https://doi.org/10.1016/j.seppur.2026.138319,Porous liquids; CO2 capture; Molecular simulation
2026,CO2 adsorption-induced anisotropic mechanical response in an 8-fold interpenetrated diamondoid metal-organic framework,Rui Zheng; Saad Aldin Mohamed; Quan Liu; Xiaoyu Wu[cor]; Jianwen Jiang[cor],Journal of Materials Chemistry A,,https://doi.org/10.1039/D6TA01626J,Flexible MOFs; Mechanical response; CO2 adsorption
2026,Machine learning guided discovery of water stable metal-organic frameworks for photocatalytic hydrogen production,Xiao Niu; Zhiming Zhang; Xiaoyu Wu; Yan Liu; Yong Cui[cor]; Jianwen Jiang[cor],Chemical Science,Cover Article,https://doi.org/10.1039/D5SC08277C,Water stability; Photocatalysis; Machine learning
2026,Breathing pores orchestrated by multifunctional chemical sites in graphene-based conjugated microporous polymer membranes for efficient H2 purification,Quan Liu[cor]; Rui Zheng; Zhuolin Liang; Longlong Sun; Xiaoyu Wu[cor]; Gongping Liu,Fuel,,https://doi.org/10.1016/j.fuel.2026.138985,Membranes; H2 purification; Porous materials
2026,"Digital Discovery of Synthesizable Metal-Organic Frameworks via Molecular Dynamics-Informed, High-Fidelity Deep Learning",Xiaoyu Wu; Rui Zheng; Quan Liu; Jianwen Jiang[cor],Advanced Functional Materials,Cover Article,https://doi.org/10.1002/adfm.202519565,Synthetic likelihood; Molecular dynamics; Deep learning
2025,Supramolecular framework crystallinity engineering via surface-confined polymerization for enhanced C3H6/C2H4 separation,Guoliang Liu; Fan Li; Ze-Jiu Diao; Hua-Dong Li; Xiaoyu Wu; Hang-Ou Qi; Lifeng Ding; Lin-Bing Sun[cor],Journal of Materials Chemistry A,,https://doi.org/10.1039/D5TA03617H,Framework crystallinity; Gas separation
